# ----------------------------------------------------------------------
# perimeter, perimeter2 1877.21358048 1877.21358048
# ---- coords ---[start]-
# 20-gon radius =  300.000 / perimeter = 1877.214
# city_num,city_x,city_y
0,600.000,300.000
1,585.317,392.705
2,542.705,476.336
3,476.336,542.705
4,392.705,585.317
5,300.000,600.000
6,207.295,585.317
7,123.664,542.705
8,57.295,476.336
9,14.683,392.705
10,0.000,300.000
11,14.683,207.295
12,57.295,123.664
13,123.664,57.295
14,207.295,14.683
15,300.000,0.000
16,392.705,14.683
17,476.336,57.295
18,542.705,123.664
19,585.317,207.295
# ---- coords ---[end]-

